city,date,fare,ride_id
Lake Jonathanshire,1/14/2019,13.83,5739410000000.00
South Michelleport,3/4/2019,30.24,2343910000000.00
Port Samanthamouth,2/24/2019,33.44,2005070000000.00
Rodneyfort,2/10/2019,23.44,5149250000000.00
South Jack,3/6/2019,34.58,3908450000000.00
South Latoya,3/11/2019,9.52,1995000000000.00
New Paulville,2/27/2019,43.25,793208000000.00
Simpsonburgh,4/26/2019,35.98,111954000000.00
South Karenland,1/8/2019,35.09,7995620000000.00
North Jasmine,3/9/2019,42.81,5327640000000.00
New Kimberlyborough,2/7/2019,9.34,7992780000000.00
West Angela,1/12/2019,26.86,4820050000000.00
Rodneyfort,3/2/2019,44.26,2494060000000.00
West Angela,1/10/2019,12.74,2108720000000.00
Roberthaven,5/4/2019,25.66,1026200000000.00
North Jason,3/28/2019,9.19,7007020000000.00
Williamsview,1/3/2019,18.93,1979490000000.00
Leahton,2/26/2019,8.85,6966670000000.00
West Anthony,3/6/2019,10.02,9396760000000.00
New Kimberlyborough,4/25/2019,29.67,4823570000000.00
Roberthaven,2/24/2019,7.8,2180570000000.00
New Paulton,5/1/2019,8.28,8527100000000.00
West Patrickchester,3/19/2019,40.86,898889000000.00
Deanville,4/25/2019,41.52,6055930000000.00
West Josephberg,2/19/2019,36.39,3322130000000.00
West Samuelburgh,5/3/2019,41.12,7330840000000.00
West Heidi,3/14/2019,24.4,4908570000000.00
Loganberg,4/1/2019,8.23,678729000000.00
Huntermouth,2/10/2019,25.79,1880380000000.00
South Latoya,1/11/2019,27.41,8662300000000.00
New Paulville,3/18/2019,25.05,5031800000000.00
Grahamburgh,1/15/2019,40.69,307021000000.00
Port Frank,2/2/2019,41.47,6746610000000.00
East Kaylahaven,2/28/2019,25.96,3662520000000.00
Rodneyfort,2/3/2019,44.86,2325700000000.00
South Karenland,2/12/2019,36.01,4015930000000.00
West Robert,2/15/2019,12.28,1442500000000.00
North Markport,2/18/2019,38.09,925013000000.00
Williamsview,3/12/2019,8.35,1940440000000.00
Richardfort,2/24/2019,13.93,5628550000000.00
New Kimberlyborough,3/14/2019,27.9,6750800000000.00
Reynoldsfurt,3/25/2019,34.06,6604420000000.00
South Karenland,5/8/2019,41.33,5688920000000.00
Rodneyfort,4/25/2019,21.7,8534600000000.00
Justinberg,4/23/2019,14.65,9878230000000.00
West Josephberg,3/5/2019,12.91,102685000000.00
South Karenland,3/3/2019,37.3,4104000000000.00
Leahton,5/5/2019,17.05,5846590000000.00
Martinezhaven,3/19/2019,5.3,264338000000.00
North Jason,3/3/2019,28.02,2670550000000.00
Jerryton,3/3/2019,28.08,6003410000000.00
Lake Scottton,2/18/2019,25.02,3909340000000.00
South Evanton,2/14/2019,42.5,9953660000000.00
Rogerston,5/8/2019,32.69,1643410000000.00
West Samuelburgh,5/2/2019,38.77,2931690000000.00
West Ericstad,4/24/2019,7.31,4292480000000.00
New Paulville,3/10/2019,4.43,1213920000000.00
Hurleymouth,5/4/2019,21.44,4039660000000.00
West Samuelburgh,3/3/2019,25.17,1781750000000.00
Joneschester,3/1/2019,34.71,3343260000000.00
New Paulville,4/3/2019,32.7,9562560000000.00
Simpsonburgh,1/19/2019,15.83,233191000000.00
Port Angela,4/17/2019,16.34,7120530000000.00
West Ericstad,4/4/2019,28.52,6432850000000.00
New Kimberlyborough,3/16/2019,17.19,2770470000000.00
Joneschester,1/30/2019,36.78,1664030000000.00
North Markport,4/26/2019,44.37,1628420000000.00
Hurleymouth,3/22/2019,32.85,8449290000000.00
Barajasview,1/15/2019,19.52,8268110000000.00
Grahamburgh,4/6/2019,23.87,1468250000000.00
South Michelleport,3/2/2019,33.12,813844000000.00
Loganberg,1/7/2019,16.26,9045380000000.00
West Christopherberg,3/18/2019,12.64,1061090000000.00
Rogerston,2/23/2019,14.04,7647140000000.00
Huntermouth,2/24/2019,39.12,928039000000.00
New Jacobville,2/9/2019,7.11,3855050000000.00
Lake Jonathanshire,4/7/2019,31.25,4441250000000.00
Port David,3/17/2019,33.11,1025680000000.00
Martinezhaven,2/20/2019,13.34,2760690000000.00
Port Frank,4/19/2019,26.47,6722710000000.00
Valentineton,3/2/2019,39.77,6770390000000.00
Hurleymouth,3/3/2019,36.31,167035000000.00
Carriemouth,2/25/2019,32.37,6918430000000.00
Port Samanthamouth,4/16/2019,9.2,8712250000000.00
Williamsstad,1/23/2019,19.62,125986000000.00
Royland,1/7/2019,24.5,3620850000000.00
New Jacobville,1/5/2019,34.11,2828520000000.00
Roberthaven,3/6/2019,12.38,3372960000000.00
South Evanton,1/7/2019,43.61,9122500000000.00
New Paulton,5/3/2019,21.67,9086560000000.00
Karenberg,3/11/2019,36.15,7796760000000.00
Rodneyfort,1/30/2019,16.99,5778730000000.00
East Kaylahaven,4/4/2019,23.18,57422927996.00
Huntermouth,2/19/2019,7.05,1616520000000.00
Barajasview,1/23/2019,37.68,4108450000000.00
Williamsstad,3/29/2019,35.58,4747780000000.00
North Jason,3/8/2019,25.21,3180080000000.00
Christopherfurt,4/17/2019,23.3,7819060000000.00
Liumouth,1/11/2019,36.78,1464520000000.00
Johnton,1/17/2019,32.19,8526300000000.00
West Angela,3/8/2019,41.06,6204870000000.00
Jerryton,1/4/2019,37.2,5637870000000.00
Erikaland,2/18/2019,20.62,3294150000000.00
North Jason,2/7/2019,20,473650000000.00
Lake Scottton,5/5/2019,18.77,405382000000.00
Simpsonburgh,3/22/2019,22.05,3495180000000.00
Raymondhaven,3/12/2019,16.98,6447700000000.00
West Robert,4/5/2019,44.58,4246010000000.00
North Jason,3/18/2019,6.41,2865830000000.00
Port Samanthamouth,1/23/2019,35.51,3116860000000.00
West Robert,1/21/2019,27.11,1369910000000.00
Jerryton,1/5/2019,37.91,1587080000000.00
Port Samanthamouth,2/3/2019,18.03,9292190000000.00
Liumouth,1/15/2019,14.55,4379350000000.00
West Heidi,4/3/2019,24.76,1820230000000.00
Loganberg,1/21/2019,22.86,1954300000000.00
Grahamburgh,2/17/2019,30.25,4047930000000.00
Raymondhaven,5/6/2019,25.76,8721020000000.00
Karenside,1/25/2019,14.52,2652360000000.00
Port Frank,4/6/2019,18.08,5474890000000.00
Leahton,4/2/2019,22.76,5808730000000.00
Port Samanthamouth,4/22/2019,29.67,3154060000000.00
Jerryton,4/13/2019,32.08,8499180000000.00
West Patrickchester,3/7/2019,23.66,3066090000000.00
West Samuelburgh,3/3/2019,27.48,100531000000.00
North Markport,3/31/2019,29.41,3093470000000.00
West Angela,3/10/2019,27.1,1365320000000.00
Grahamburgh,3/12/2019,22.97,4898010000000.00
South Michelleport,1/8/2019,23.77,4916160000000.00
East Kaylahaven,4/2/2019,9.67,2088460000000.00
South Karenland,4/22/2019,22.86,6728150000000.00
Lake Danielberg,2/24/2019,9.63,9149330000000.00
Justinberg,4/26/2019,8.83,1823090000000.00
Karenberg,4/29/2019,28.41,9052850000000.00
South Phillip,2/9/2019,7.89,3203190000000.00
North Madeline,4/5/2019,29.69,240703000000.00
New Kimberlyborough,5/1/2019,22.59,9250930000000.00
South Jack,4/24/2019,38.04,2197990000000.00
Erikaland,3/11/2019,27.39,132014000000.00
New Paulville,3/27/2019,7.29,7046760000000.00
Hurleymouth,3/26/2019,41.15,4707260000000.00
Liumouth,4/12/2019,43.34,7857230000000.00
Deanville,5/1/2019,8.28,592955000000.00
Karenside,4/2/2019,41.93,4093610000000.00
West Angela,1/30/2019,19.13,2078140000000.00
Liumouth,2/1/2019,24.81,5470070000000.00
Jerryton,3/27/2019,13.29,8959840000000.00
South Phillip,5/4/2019,28.3,8696570000000.00
Port Johnbury,4/27/2019,25.67,2746330000000.00
Raymondhaven,2/8/2019,5.7,3930030000000.00
Port David,3/7/2019,42.04,9905960000000.00
Robertport,3/6/2019,6.73,9679760000000.00
Loganberg,3/16/2019,23.99,9492900000000.00
Karenside,4/19/2019,36.01,1322740000000.00
Lake Jonathanshire,3/9/2019,19.89,2389500000000.00
Pattyland,1/30/2019,8.57,4688890000000.00
West Robert,4/13/2019,32.94,9603610000000.00
Justinberg,4/12/2019,17.03,8374760000000.00
West Josephberg,2/9/2019,4.42,8303790000000.00
North Markport,1/21/2019,27.68,4556760000000.00
Williamsview,1/9/2019,44.46,2195530000000.00
Raymondhaven,2/1/2019,13.86,8721050000000.00
South Latoya,2/12/2019,30.22,7388420000000.00
Deanville,3/29/2019,5.32,2612670000000.00
Amandaburgh,3/5/2019,26.28,906851000000.00
Jerryton,1/27/2019,29.08,6160530000000.00
Deanville,3/24/2019,30.55,5276110000000.00
West Anthony,1/23/2019,23.24,596601000000.00
West Anthony,2/24/2019,39.2,8491410000000.00
West Heidi,3/30/2019,22.41,1711350000000.00
Royland,1/1/2019,7.57,5815380000000.00
South Latoya,3/2/2019,10.35,338289000000.00
Johnton,1/8/2019,43.75,195319000000.00
West Angela,1/30/2019,32.31,7288680000000.00
Rodneyfort,1/8/2019,29.4,1184250000000.00
Royland,1/2/2019,10.19,668201000000.00
New Paulville,1/31/2019,20.8,1092840000000.00
Huntermouth,4/9/2019,35.11,3005610000000.00
New Paulville,1/30/2019,7.02,8504960000000.00
Justinberg,5/3/2019,36.06,929542000000.00
Port Angela,3/31/2019,30.77,662264000000.00
Port Angela,4/9/2019,11.9,7009810000000.00
Christopherfurt,1/5/2019,33.51,1901030000000.00
South Michelleport,4/22/2019,43.62,4663610000000.00
Williamsstad,2/13/2019,33.72,3796710000000.00
Lake Jonathanshire,4/7/2019,24.28,7796810000000.00
Robertport,3/20/2019,20.21,9630920000000.00
Port Angela,2/8/2019,30.38,5165540000000.00
Barajasview,2/8/2019,24.49,2612170000000.00
South Evanton,1/24/2019,17.83,2996660000000.00
Lake Danielberg,2/13/2019,43.96,100024000000.00
Royland,4/19/2019,25.4,9847760000000.00
Rodneyfort,2/8/2019,30.02,2497020000000.00
East Kaylahaven,1/17/2019,40.82,6342490000000.00
West Christopherberg,1/17/2019,9.04,5154850000000.00
New Jacobville,1/15/2019,27.24,3812960000000.00
Lake Jonathanshire,1/2/2019,13.89,424255000000.00
Port Samanthamouth,4/25/2019,25.5,1169130000000.00
West Heidi,3/26/2019,22.33,826311000000.00
Karenside,4/14/2019,13.13,3659610000000.00
Valentineton,2/1/2019,9.68,2132100000000.00
Raymondhaven,2/23/2019,4.24,294151000000.00
Carriemouth,3/11/2019,16.78,1519390000000.00
West Josephberg,1/16/2019,7.04,2507080000000.00
Port Samanthamouth,3/1/2019,43.25,1389180000000.00
Karenberg,3/30/2019,24.64,4539330000000.00
New Paulton,3/10/2019,28,1067160000000.00
Joneschester,2/7/2019,6.34,2605460000000.00
North Jasmine,2/8/2019,4.86,1276630000000.00
Valentineton,2/27/2019,25.4,6152360000000.00
New Paulton,2/20/2019,24.29,7738130000000.00
South Evanton,4/28/2019,22.86,7585360000000.00
North Jasmine,1/22/2019,31.68,712302000000.00
West Anthony,3/17/2019,35.42,4561320000000.00
